ID,target
326,31
327,91
328,94
329,7
330,71
331,36
332,61
333,62
334,5
335,60
336,45
337,91
338,34
339,73
340,9
341,1
342,68
343,62
344,99
345,66
346,46
347,7
348,10
349,26
350,68
351,34
352,13
353,58
354,48
355,40
356,96
357,14
358,35
359,66
360,64
361,39
362,91
363,94
364,63
365,61
366,88
367,54
368,90
369,27
370,90
371,33
372,28
373,29
374,5
375,86
376,7
377,0
378,94
379,35
380,6
381,6
382,41
383,65
384,69
385,27
386,29
387,67
388,85
389,65
390,40
391,57
392,55
393,30
394,50
395,27
396,4
397,49
398,47
399,95
400,40
401,93
402,80
403,55
404,6
405,57
406,55
407,16
408,98
409,89
410,40
411,47
412,71
413,72
414,46
415,66
416,65
417,8
418,53
419,96
420,80
421,13
422,80
423,96
424,68
425,42
426,77
427,61
428,27
429,19
430,50
431,98
432,79
433,51
434,11
435,19
436,31
437,73
438,64
439,10
440,16
441,5
442,81
443,85
444,79
445,85
446,65
447,78
448,4
449,90
450,22
451,86
452,61
453,18
454,98
455,9
456,26
457,27
458,93
459,25
460,58
461,87
462,76
463,46
464,92
465,38
466,59
467,17
468,6
469,0
470,79
471,97
472,79
473,14
474,30
475,6
476,84
477,42
478,45
479,25
480,37
481,75
482,74
483,14
484,0
485,99
486,79
487,87
488,67
489,3
490,97
491,94
492,49
493,3
494,74
495,91
496,36
497,77
498,89
499,71
500,65
501,22
502,90
503,11
504,11
505,41
506,80
507,58
508,47
509,93
510,68
511,11
512,2
513,67
514,14
515,53
516,73
517,36
518,83
519,70
520,64
521,32
522,45
523,98
524,62
525,46
526,95
527,42
528,22
529,18
530,29
531,63
532,8
533,94
534,35
535,18
536,76
537,19
538,99
539,57
540,15
541,54
542,2
543,27
544,27
545,93
546,81
547,54
548,71
549,44
550,33
551,35
552,95
553,72
554,78
555,42
556,62
557,56
558,93
559,47
560,91
561,43
562,20
563,45
564,3
565,49
566,10
567,26
568,45
569,36
570,36
571,68
572,88
573,35
574,26
575,76
576,26
577,38
578,58
579,96
580,38
581,87
582,82
583,22
584,0
585,41
586,54
587,89
588,10
589,35
590,44
591,13
592,91
593,56
594,9
595,7
596,4
597,30
598,1
599,39
600,35
601,72
602,83
603,3
604,64
605,84
606,66
607,4
608,64
609,77
610,98
611,82
612,81
613,20
614,0
615,48
616,11
617,51
618,22
619,58
620,17
621,39
622,76
623,0
624,17
625,64
626,48
627,1
628,93
629,82
630,75
631,96
632,97
633,3
634,62
635,60
636,61
637,32
638,26
639,84
640,41
641,12
642,85
643,86
644,8
645,82
646,66
647,94
648,74
649,22
650,15
651,66
652,89
653,22
654,19
655,2
656,15
657,5
658,56
659,36
660,45
661,1
662,94
663,43
664,87
665,82
666,17
667,64
668,28
669,38
670,30
671,73
672,83
673,3
674,91
675,28
676,77
677,91
678,80
679,68
680,14
681,14
682,91
683,62
684,97
685,45
686,7
687,21
688,13
689,32
690,72
691,88
692,86
693,92
694,14
695,10
696,74
697,25
698,67
699,78
700,74
701,88
702,4
703,10
704,38
705,26
706,31
707,85
708,78
709,29
710,50
711,81
712,97
713,1
714,82
715,57
716,3
717,31
718,56
719,57
720,64
721,76
722,60
723,40
724,35
725,1
726,61
727,75
728,62
729,21
730,61
731,78
732,90
733,68
734,94
735,88
736,72
737,43
738,83
739,67
740,64
741,77
742,38
743,63
744,61
745,41
746,88
747,83
748,2
749,82
750,50
751,15
752,48
753,5
754,63
755,71
756,8
757,98
758,93
759,24
760,85
761,25
762,96
763,71
764,4
765,80
766,13
767,90
768,54
769,15
770,76
771,39
772,95
773,24
774,7
775,64
776,70
777,42
778,81
779,0
780,12
781,64
782,35
783,79
784,86
785,60
786,22
787,80
788,82
789,14
790,48
791,33
792,55
793,53
794,87
795,1
796,58
797,94
798,92
799,29
800,86
801,23
802,46
803,58
804,99
805,78
806,10
807,53
808,37
809,97
810,65
811,15
812,77
813,52
814,63
815,32
816,6
817,36
818,89
819,24
820,37
821,4
822,13
823,22
824,67
825,54
826,83
827,10
828,57
829,20
830,11
831,70
832,4
833,19
834,26
835,16
836,96
837,71
838,90
839,39
840,84
841,47
842,35
843,19
844,59
845,74
846,32
847,10
848,53
849,21
850,98
851,6
852,88
853,71
854,64
855,69
856,55
857,73
858,24
859,93
860,44
861,59
862,16
863,33
864,9
865,10
866,35
867,68
868,24
869,47
870,11
871,9
872,63
873,53
874,16
875,78
876,41
877,77
878,54
879,25
880,20
881,29
882,76
883,51
884,54
885,26
886,44
887,2
888,96
889,69
890,36
891,18
892,90
893,66
894,47
895,37
896,99
897,34
898,12
899,4
900,72
901,5
902,15
903,16
904,34
905,99
906,3
907,28
908,69
909,51
910,72
911,39
912,8
913,56
914,52
915,64
916,98
917,77
918,45
919,21
920,29
921,89
922,37
923,48
924,59
925,56
926,65
927,52
928,83
929,27
930,2
931,60
932,9
933,68
934,22
935,23
936,46
937,4
938,54
939,97
940,71
941,54
942,62
943,56
944,23
945,42
946,81
947,66
948,87
949,47
950,96
951,67
952,42
953,51
954,10
955,2
956,71
957,13
958,72
959,34
960,38
961,47
962,72
963,51
964,6
965,64
966,76
967,47
968,62
969,34
970,60
971,74
972,28
973,24
974,65
975,69
976,82
977,90
978,70
979,58
980,77
981,43
982,43
983,99
984,81
985,55
986,66
987,35
988,84
989,21
990,49
991,47
992,15
993,37
994,35
995,89
996,36
997,9
998,53
999,91
1000,65
1001,23
1002,94
1003,53
1004,55
1005,90
1006,86
1007,44
1008,95
1009,62
1010,25
1011,12
1012,11
1013,29
1014,0
1015,9
1016,90
1017,64
1018,50
1019,90
1020,4
1021,52
1022,4
1023,48
1024,71
1025,12
1026,97
1027,0
1028,3
1029,41
1030,21
1031,86
1032,51
1033,66
1034,13
1035,65
1036,81
1037,73
1038,55
1039,30
1040,59
1041,10
1042,6
1043,8
1044,6
1045,9
1046,26
1047,11
1048,78
1049,26
1050,16
1051,17
1052,39
1053,67
1054,20
1055,3
1056,81
1057,26
1058,52
1059,45
1060,19
1061,18
1062,57
1063,60
1064,49
1065,36
1066,23
1067,4
1068,27
1069,15
1070,41
1071,55
1072,14
1073,20
1074,49
1075,28
1076,20
1077,33
1078,7
1079,45
1080,7
1081,89
1082,1
1083,90
1084,42
1085,15
1086,23
1087,93
1088,96
1089,52
1090,15
1091,26
1092,27
1093,93
1094,48
1095,70
1096,48
1097,82
1098,84
1099,81
1100,55
1101,38
1102,55
1103,63
1104,76
1105,4
1106,54
1107,60
1108,1
1109,49
1110,1
1111,92
1112,99
1113,69
1114,98
1115,62
1116,25
1117,26
1118,28
1119,5
1120,21
1121,25
1122,82
1123,42
1124,19
1125,93
1126,97
1127,61
1128,81
1129,69
1130,9
1131,91
1132,96
1133,34
1134,35
1135,40
1136,0
1137,28
1138,51
1139,93
1140,65
1141,96
1142,5
1143,13
1144,52
1145,58
1146,2
1147,32
1148,37
1149,74
1150,10
1151,19
1152,2
1153,49
1154,64
1155,58
1156,55
1157,62
1158,47
1159,53
1160,41
1161,59
1162,84
1163,25
1164,67
1165,61
1166,95
1167,24
1168,46
1169,98
1170,31
1171,83
1172,16
1173,2
1174,52
1175,51
1176,31
1177,54
1178,60
1179,66
1180,95
1181,89
1182,35
1183,4
1184,15
1185,93
1186,63
1187,90
1188,37
1189,19
1190,66
1191,99
1192,55
1193,53
1194,12
1195,93
1196,78
1197,21
1198,52
1199,21
1200,43
1201,77
1202,55
1203,50
1204,57
1205,69
1206,5
1207,29
1208,41
1209,14
1210,41
1211,77
1212,58
1213,60
1214,26
1215,88
1216,19
1217,19
1218,48
1219,5
1220,81
1221,69
1222,77
1223,60
1224,88
1225,92
1226,31
1227,34
1228,36
1229,30
1230,64
1231,82
1232,88
1233,7
1234,38
1235,57
1236,54
1237,33
1238,35
1239,14
1240,79
1241,90
1242,76
1243,28
1244,24
1245,6
1246,40
1247,76
1248,88
1249,28
1250,98
1251,96
1252,32
1253,64
1254,45
1255,54
1256,26
1257,79
1258,70
1259,46
1260,89
1261,89
1262,64
1263,93
1264,39
1265,53
1266,50
1267,50
1268,56
1269,84
1270,46
1271,13
1272,5
1273,74
1274,5
1275,56
1276,68
1277,62
1278,92
1279,93
1280,36
1281,66
1282,25
1283,50
1284,90
1285,67
1286,41
1287,11
1288,99
1289,41
1290,79
1291,90
1292,59
1293,59
1294,2
1295,16
1296,17
1297,64
1298,90
1299,96
1300,43
1301,88
1302,3
1303,45
1304,0
1305,68
1306,33
1307,49
1308,0
1309,79
1310,53
1311,98
1312,78
1313,51
1314,5
1315,35
1316,6
1317,70
1318,9
1319,69
1320,34
1321,48
1322,71
1323,37
1324,42
1325,26
1326,20
1327,58
1328,78
1329,17
1330,1
1331,5
1332,80
1333,5
1334,29
1335,47
1336,38
1337,63
1338,10
1339,10
1340,99
1341,20
1342,88
1343,50
1344,53
1345,97
1346,59
1347,78
1348,98
1349,4
1350,6
1351,35
1352,33
1353,67
1354,23
1355,68
1356,26
1357,52
1358,17
1359,65
1360,47
1361,12
1362,94
1363,81
1364,76
1365,91
1366,3
1367,11
1368,18
1369,52
1370,54
1371,32
1372,19
1373,0
1374,43
1375,50
1376,43
1377,73
1378,30
1379,4
1380,53
1381,17
1382,8
1383,87
1384,59
1385,43
1386,18
1387,12
1388,80
1389,5
1390,25
1391,41
1392,81
1393,23
1394,68
1395,52
1396,81
1397,43
1398,48
1399,46
1400,27
1401,92
1402,84
1403,34
1404,48
1405,80
1406,37
1407,3
1408,8
1409,88
1410,78
1411,50
1412,76
1413,64
1414,95
1415,94
1416,70
1417,52
1418,25
1419,10
1420,99
1421,33
1422,28
1423,4
1424,96
1425,34
1426,57
1427,13
1428,22
1429,40
1430,48
1431,50
1432,34
1433,43
1434,20
1435,87
1436,91
1437,50
1438,9
1439,85
1440,19
1441,57
1442,78
1443,93
1444,46
1445,13
1446,44
1447,24
1448,10
1449,62
1450,64
1451,56
1452,3
1453,29
1454,51
1455,78
1456,62
1457,53
1458,17
1459,28
1460,28
1461,35
1462,65
1463,48
1464,48
1465,71
1466,30
1467,66
1468,46
1469,8
1470,94
1471,25
1472,70
1473,54
1474,90
1475,86
1476,3
1477,76
1478,58
1479,11
1480,45
1481,91
1482,55
1483,26
1484,51
1485,53
1486,40
1487,9
1488,87
1489,89
1490,73
1491,58
1492,78
1493,31
1494,92
1495,39
1496,43
1497,47
1498,34
1499,26
1500,93
1501,59
1502,64
1503,37
1504,92
1505,14
1506,26
1507,37
1508,94
1509,15
1510,15
1511,45
1512,24
1513,32
1514,9
1515,43
1516,12
1517,27
1518,83
1519,36
1520,55
1521,98
1522,69
1523,66
1524,72
1525,20
1526,54
1527,45
1528,86
1529,84
1530,72
1531,4
1532,6
1533,14
1534,69
1535,47
1536,62
1537,10
1538,15
1539,73
1540,16
1541,2
1542,7
1543,38
1544,59
1545,90
1546,39
1547,79
1548,25
1549,48
1550,16
1551,49
1552,17
1553,76
1554,71
1555,74
1556,63
1557,28
1558,56
1559,43
1560,10
1561,11
1562,9
1563,17
1564,31
1565,52
1566,52
1567,36
1568,58
1569,79
1570,4
1571,78
1572,15
1573,15
1574,24
1575,56
1576,3
1577,30
1578,57
1579,5
1580,76
1581,84
1582,52
1583,79
1584,64
1585,4
1586,22
1587,84
1588,15
1589,83
1590,19
1591,64
1592,10
1593,33
1594,8
1595,76
1596,96
1597,87
1598,53
1599,39
1600,60
1601,72
1602,74
1603,19
1604,68
1605,18
1606,23
1607,42
1608,47
1609,2
1610,25
1611,80
1612,24
1613,17
1614,18
1615,64
1616,8
1617,17
1618,67
1619,21
1620,42
1621,21
1622,98
1623,46
1624,21
1625,61
1626,66
1627,41
1628,9
1629,40
1630,54
1631,54
1632,65
1633,87
1634,3
1635,37
1636,52
1637,92
1638,71
1639,17
1640,96
1641,94
1642,39
1643,93
1644,79
1645,34
1646,26
1647,33
1648,50
1649,22
1650,53
1651,88
1652,20
1653,47
1654,98
1655,55
1656,84
1657,25
1658,10
1659,56
1660,68
1661,27
1662,13
1663,92
1664,12
1665,46
1666,76
1667,67
1668,42
1669,2
1670,99
1671,48
1672,3
1673,11
1674,20
1675,8
1676,77
1677,0
1678,63
1679,7
1680,10
1681,52
1682,11
1683,52
1684,90
1685,69
1686,78
1687,15
1688,78
1689,12
1690,61
1691,5
1692,91
1693,86
1694,85
1695,33
1696,61
1697,30
1698,34
1699,24
1700,56
1701,16
1702,62
1703,38
1704,73
1705,44
1706,53
1707,7
1708,38
1709,17
1710,8
1711,24
1712,41
1713,82
1714,61
1715,21
1716,30
1717,64
1718,47
1719,57
1720,16
1721,81
1722,95
1723,72
1724,96
1725,88
1726,62
1727,73
1728,18
1729,61
1730,2
1731,50
1732,21
1733,87
1734,5
1735,99
1736,5
1737,59
1738,0
1739,78
1740,20
1741,85
1742,54
1743,57
1744,73
1745,69
1746,3
1747,98
1748,49
1749,33
1750,73
1751,99
1752,97
1753,89
1754,3
1755,54
1756,90
1757,15
1758,35
1759,1
1760,51
1761,28
1762,44
1763,52
1764,54
1765,16
1766,40
1767,14
1768,45
1769,93
1770,12
1771,42
1772,27
1773,29
1774,59
1775,8
1776,17
1777,56
1778,11
1779,77
1780,1
1781,82
1782,33
1783,34
1784,86
1785,49
1786,86
1787,93
1788,42
1789,20
1790,58
1791,53
1792,25
1793,91
1794,80
1795,65
1796,64
1797,90
1798,70
1799,34
1800,11
1801,50
1802,68
1803,59
1804,6
1805,79
1806,22
1807,22
1808,86
1809,10
1810,1
1811,75
1812,48
1813,5
1814,90
1815,67
1816,99
1817,19
1818,82
1819,76
1820,64
1821,70
1822,65
1823,77
1824,70
1825,12
1826,91
1827,83
1828,95
1829,48
1830,52
1831,30
1832,49
1833,11
1834,15
1835,17
1836,65
1837,94
1838,29
1839,87
1840,49
1841,74
1842,57
1843,42
1844,73
1845,28
1846,16
1847,78
1848,46
1849,31
1850,25
1851,2
1852,30
1853,21
1854,53
1855,59
1856,56
1857,28
1858,17
1859,53
1860,71
1861,16
1862,94
1863,53
1864,12
1865,57
1866,28
1867,7
1868,36
1869,33
1870,53
1871,87
1872,43
1873,17
1874,9
1875,22
1876,17
1877,6
1878,53
1879,68
1880,44
1881,89
1882,15
1883,80
1884,45
1885,30
1886,37
1887,66
1888,28
1889,39
1890,23
1891,52
1892,24
1893,21
1894,27
1895,99
1896,15
1897,21
1898,59
1899,7
1900,81
1901,88
1902,93
1903,61
1904,17
1905,44
1906,29
1907,81
1908,99
1909,94
1910,40
1911,60
1912,4
1913,90
1914,18
1915,88
1916,18
1917,24
1918,36
1919,93
1920,74
1921,88
1922,56
1923,3
1924,65
1925,0
1926,43
1927,22
1928,47
1929,95
1930,71
1931,69
1932,86
1933,78
1934,74
1935,69
1936,46
1937,97
1938,29
1939,18
1940,64
1941,98
1942,65
1943,36
1944,87
1945,42
1946,91
1947,20
1948,50
1949,74
1950,76
1951,29
1952,63
1953,6
1954,55
1955,99
1956,93
1957,21
1958,38
1959,83
1960,67
1961,31
1962,49
1963,39
1964,66
1965,66
1966,53
1967,54
1968,41
1969,36
1970,61
1971,88
1972,30
1973,19
1974,95
1975,41
1976,89
1977,32
1978,46
1979,51
1980,15
1981,31
1982,22
1983,2
1984,99
1985,13
1986,95
1987,32
1988,95
1989,11
1990,38
1991,98
1992,28
1993,45
1994,42
1995,7
1996,88
1997,10
1998,12
1999,8
2000,92
2001,41
2002,33
2003,65
2004,17
2005,51
2006,99
2007,46
2008,73
2009,63
2010,63
2011,9
2012,58
2013,96
2014,77
2015,1
2016,36
2017,53
2018,92
2019,13
2020,46
2021,21
2022,35
2023,39
2024,49
2025,81
2026,35
2027,3
2028,77
2029,89
2030,95
2031,85
2032,59
2033,48
2034,98
2035,38
2036,72
2037,33
2038,82
2039,43
2040,12
2041,21
2042,18
2043,25
2044,5
2045,25
2046,63
2047,78
2048,43
2049,40
2050,93
2051,43
2052,3
2053,23
2054,30
2055,39
2056,6
2057,86
2058,53
2059,3
2060,12
2061,57
2062,5
2063,17
2064,97
2065,37
2066,48
2067,79
2068,5
2069,83
2070,16
2071,89
2072,48
2073,54
2074,16
2075,72
2076,10
2077,0
2078,19
2079,14
2080,29
2081,20
2082,48
2083,36
2084,33
2085,95
2086,20
2087,59
2088,0
2089,51
2090,6
2091,71
2092,31
2093,45
2094,91
2095,92
2096,87
2097,91
2098,16
2099,40
2100,58
2101,89
2102,97
2103,83
2104,55
2105,85
2106,16
2107,65
2108,20
2109,40
2110,74
2111,49
2112,18
2113,91
2114,56
2115,92
2116,19
2117,97
2118,28
2119,31
2120,41
2121,81
2122,81
2123,89
2124,39
2125,16
2126,41
2127,65
2128,27
2129,87
2130,21
2131,34
2132,36
2133,90
2134,94
2135,71
2136,31
2137,62
2138,95
2139,33
2140,38
2141,95
2142,41
2143,24
2144,89
2145,15
2146,13
2147,8
2148,48
2149,30
2150,52
2151,79
2152,25
2153,12
2154,94
2155,78
2156,10
2157,29
2158,38
2159,52
2160,43
2161,20
2162,98
2163,24
2164,71
2165,49
2166,61
2167,46
2168,51
2169,39
2170,11
2171,89
2172,78
2173,27
2174,26
2175,53
2176,10
2177,41
2178,12
2179,2
2180,4
2181,39
2182,19
2183,56
2184,74
2185,79
2186,65
2187,98
2188,42
2189,22
2190,6
2191,59
2192,18
2193,87
2194,6
2195,87
2196,49
2197,91
2198,17
2199,53
2200,33
2201,7
2202,99
2203,13
2204,5
2205,66
2206,80
2207,39
2208,49
2209,45
2210,14
2211,97
2212,86
2213,10
2214,90
2215,27
2216,24
2217,84
2218,44
2219,97
2220,88
2221,4
2222,26
2223,61
2224,97
2225,73
2226,73
2227,58
2228,21
2229,6
2230,98
2231,29
2232,51
2233,59
2234,62
2235,60
2236,68
2237,44
2238,83
2239,57
2240,41
2241,81
2242,48
2243,82
2244,67
2245,10
2246,28
2247,71
2248,79
2249,43
2250,37
2251,5
2252,17
2253,7
2254,84
2255,57
2256,44
2257,57
2258,68
2259,26
2260,59
2261,32
2262,87
2263,16
2264,3
2265,66
2266,65
2267,15
2268,75
2269,20
2270,47
2271,0
2272,14
2273,12
2274,62
2275,74
2276,63
2277,69
2278,3
2279,1
2280,30
2281,38
2282,19
2283,47
2284,13
2285,37
2286,60
2287,21
2288,56
2289,68
2290,84
2291,19
2292,40
2293,70
2294,61
2295,10
2296,57
2297,81
2298,68
2299,37
2300,28
2301,15
2302,61
2303,47
2304,76
2305,11
2306,72
2307,23
2308,73
2309,3
2310,31
2311,30
2312,32
2313,54
2314,9
2315,15
2316,2
2317,26
2318,65
2319,98
2320,12
2321,58
2322,67
2323,76
2324,95
2325,67
2326,95
2327,26
2328,92
2329,47
2330,5
2331,29
2332,51
2333,99
2334,83
2335,60
2336,34
2337,97
2338,1
2339,93
2340,97
2341,38
2342,19
2343,92
2344,40
2345,55
2346,95
2347,50
2348,5
2349,80
2350,76
2351,20
2352,67
2353,30
2354,69
2355,59
2356,34
2357,77
2358,98
2359,66
2360,31
2361,73
2362,16
2363,90
2364,18
2365,88
2366,38
2367,81
2368,25
2369,12
2370,65
2371,35
2372,37
2373,76
2374,31
2375,0
2376,90
2377,62
2378,5
2379,37
2380,41
2381,80
2382,20
2383,59
2384,78
2385,25
2386,98
2387,26
2388,35
2389,20
2390,32
2391,35
2392,5
2393,79
2394,61
2395,43
2396,58
2397,36
2398,99
2399,60
2400,70
2401,38
2402,59
2403,44
2404,56
2405,8
2406,83
2407,23
2408,52
2409,32
2410,54
2411,33
2412,61
2413,49
2414,83
2415,15
2416,50
2417,3
2418,37
2419,86
2420,80
2421,58
2422,5
2423,95
2424,26
2425,92
2426,10
2427,35
2428,84
2429,33
2430,53
2431,59
2432,94
2433,11
2434,16
2435,34
2436,1
2437,76
2438,63
2439,69
2440,66
2441,37
2442,67
2443,40
2444,93
2445,24
2446,82
2447,23
2448,73
2449,66
2450,30
2451,11
2452,11
2453,94
2454,88
2455,31
2456,29
2457,46
2458,95
2459,54
2460,41
2461,6
2462,19
2463,22
2464,3
2465,67
2466,55
2467,53
2468,21
2469,33
2470,20
2471,63
2472,12
2473,64
2474,23
2475,10
2476,75
2477,8
2478,33
2479,66
2480,4
2481,72
2482,73
2483,84
2484,13
2485,96
2486,38
2487,22
2488,0
2489,19
2490,38
2491,71
2492,85
2493,68
2494,16
2495,37
2496,90
2497,11
2498,21
2499,8
2500,60
2501,76
2502,74
2503,89
2504,60
2505,69
2506,52
2507,32
2508,29
2509,27
2510,9
2511,16
2512,0
2513,65
2514,17
2515,1
2516,62
2517,83
2518,34
2519,2
2520,8
2521,32
2522,67
2523,53
2524,17
2525,78
2526,10
2527,26
2528,64
2529,25
2530,70
2531,96
2532,72
2533,22
2534,93
2535,84
2536,96
2537,79
2538,23
2539,76
2540,4
2541,57
2542,16
2543,64
2544,34
2545,82
2546,66
2547,83
2548,27
2549,71
2550,9
2551,60
2552,2
2553,43
2554,29
2555,55
2556,58
2557,40
2558,5
2559,83
2560,62
2561,26
2562,39
2563,86
2564,27
2565,16
2566,85
2567,27
2568,76
2569,41
2570,42
2571,18
2572,14
2573,4
2574,73
2575,71
2576,20
2577,24
2578,84
2579,51
2580,88
2581,5
2582,25
2583,25
2584,59
2585,77
2586,22
2587,36
2588,68
2589,28
2590,44
2591,58
2592,73
2593,35
2594,52
2595,30
2596,99
2597,49
2598,31
2599,50
2600,87
2601,44
2602,85
2603,58
2604,57
2605,45
2606,94
2607,5
2608,11
2609,81
2610,2
2611,73
2612,96
2613,69
2614,74
2615,74
2616,75
2617,31
2618,97
2619,4
2620,44
2621,71
2622,29
2623,63
2624,89
2625,99
2626,67
2627,39
2628,52
2629,59
2630,84
2631,96
2632,32
2633,36
2634,64
2635,27
2636,90
2637,37
2638,32
2639,85
2640,65
2641,54
2642,78
2643,54
2644,14
2645,70
2646,7
2647,42
2648,0
2649,41
2650,39
2651,87
2652,34
2653,78
2654,47
2655,95
2656,10
2657,21
2658,63
2659,55
2660,69
2661,20
2662,85
2663,45
2664,28
2665,13
2666,92
2667,35
2668,84
2669,75
2670,10
2671,93
2672,52
2673,80
2674,61
2675,89
2676,57
2677,74
2678,42
2679,39
2680,91
2681,88
2682,65
2683,49
2684,20
2685,46
2686,16
2687,45
2688,91
2689,88
2690,89
2691,28
2692,27
2693,83
2694,54
2695,65
2696,71
2697,77
2698,13
2699,56
2700,76
2701,37
2702,3
2703,3
2704,3
2705,46
2706,3
2707,90
2708,26
2709,60
2710,49
2711,50
2712,15
2713,11
2714,78
2715,94
2716,86
2717,25
2718,11
2719,81
2720,4
2721,57
2722,47
2723,99
2724,90
2725,95
2726,78
2727,7
2728,89
2729,39
2730,40
2731,69
2732,55
2733,80
2734,47
2735,68
2736,66
2737,36
2738,75
2739,36
2740,82
2741,88
2742,64
2743,36
2744,81
2745,72
2746,74
2747,26
2748,52
2749,68
2750,7
2751,6
2752,53
2753,56
2754,50
2755,46
2756,34
2757,83
2758,4
2759,3
2760,43
2761,55
2762,87
2763,26
2764,63
2765,5
2766,79
2767,89
2768,38
2769,27
2770,59
2771,5
2772,95
2773,32
2774,15
2775,24
2776,77
2777,2
2778,88
2779,49
2780,11
2781,38
2782,62
2783,7
2784,6
2785,61
2786,27
2787,5
2788,41
2789,84
2790,10
2791,43
2792,23
2793,21
2794,73
2795,68
2796,88
2797,53
2798,36
2799,64
2800,47
2801,59
2802,20
2803,70
2804,11
2805,88
2806,83
2807,72
2808,27
2809,4
2810,60
2811,82
2812,61
2813,68
2814,92
2815,70
2816,84
2817,87
2818,32
2819,91
2820,43
2821,36
2822,9
2823,63
2824,83
2825,50
2826,38
2827,42
2828,34
2829,69
2830,62
2831,82
2832,13
2833,97
2834,15
2835,27
2836,22
2837,99
2838,18
2839,79
2840,98
2841,74
2842,97
2843,85
2844,26
2845,18
2846,35
2847,44
2848,84
2849,64
2850,17
2851,60
2852,79
2853,27
2854,53
2855,37
2856,82
2857,44
2858,3
2859,24
2860,27
2861,45
2862,38
2863,46
2864,21
2865,0
2866,10
2867,84
2868,11
2869,40
2870,0
2871,89
2872,44
2873,31
2874,46
2875,68
2876,47
2877,52
2878,2
2879,95
2880,70
2881,71
2882,58
2883,65
2884,27
2885,8
2886,47
2887,27
2888,43
2889,68
2890,53
2891,80
2892,68
2893,96
2894,10
2895,19
2896,92
2897,21
2898,90
2899,2
2900,21
2901,74
2902,1
2903,53
2904,29
2905,93
2906,14
2907,91
2908,71
2909,88
2910,98
2911,89
2912,27
2913,71
2914,64
2915,94
2916,22
2917,41
2918,83
2919,31
2920,4
2921,99
2922,5
2923,11
2924,22
2925,21
2926,7
2927,67
2928,5
2929,31
2930,66
2931,59
2932,30
2933,97
2934,64
2935,11
2936,22
2937,51
2938,25
2939,18
2940,78
2941,79
2942,43
2943,24
2944,5
2945,22
2946,15
2947,67
2948,15
2949,46
2950,60
2951,41
2952,11
2953,70
2954,76
2955,31
2956,89
2957,10
2958,95
2959,64
2960,0
2961,75
2962,65
2963,9
2964,36
2965,20
2966,7
2967,64
2968,24
2969,67
2970,32
2971,35
2972,82
2973,87
2974,31
2975,14
2976,67
2977,47
2978,65
2979,77
2980,51
2981,61
2982,73
2983,46
2984,66
2985,29
2986,97
2987,16
2988,0
2989,82
2990,43
2991,23
2992,89
2993,9
2994,16
2995,68
2996,35
2997,69
