ID,target
359,55
360,64
361,39
362,60
363,94
364,63
365,10
366,45
367,54
368,68
369,74
370,90
371,33
372,28
373,29
374,5
375,86
376,7
377,0
378,94
379,46
380,26
381,6
382,41
383,80
384,69
385,34
386,29
387,67
388,85
389,65
390,40
391,57
392,72
393,30
394,74
395,27
396,4
397,49
398,47
399,95
400,40
401,4
402,80
403,44
404,6
405,57
406,72
407,16
408,11
409,15
410,40
411,47
412,71
413,72
414,2
415,66
416,65
417,8
418,53
419,33
420,4
421,13
422,80
423,96
424,68
425,42
426,77
427,61
428,27
429,46
430,50
431,98
432,9
433,51
434,2
435,19
436,31
437,67
438,36
439,10
440,16
441,5
442,81
443,85
444,45
445,85
446,65
447,22
448,29
449,85
450,22
451,22
452,22
453,18
454,2
455,86
456,29
457,44
458,7
459,5
460,58
461,87
462,76
463,2
464,70
465,38
466,33
467,17
468,6
469,0
470,79
471,97
472,44
473,14
474,73
475,6
476,8
477,42
478,7
479,25
480,37
481,75
482,50
483,41
484,0
485,99
486,54
487,87
488,72
489,72
490,97
491,94
492,49
493,3
494,74
495,91
496,72
497,3
498,89
499,71
500,66
501,57
502,90
503,11
504,11
505,41
506,38
507,58
508,47
509,93
510,68
511,11
512,98
513,95
514,92
515,53
516,73
517,36
518,83
519,54
520,64
521,46
522,45
523,46
524,62
525,11
526,95
527,14
528,17
529,44
530,29
531,63
532,8
533,16
534,35
535,18
536,76
537,19
538,99
539,53
540,15
541,54
542,2
543,27
544,67
545,93
546,37
547,54
548,71
549,79
550,96
551,11
552,30
553,72
554,78
555,42
556,47
557,56
558,4
559,47
560,73
561,43
562,20
563,45
564,3
565,49
566,10
567,45
568,45
569,97
570,36
571,68
572,10
573,35
574,26
575,76
576,64
577,38
578,58
579,96
580,44
581,87
582,82
583,22
584,0
585,41
586,54
587,33
588,10
589,98
590,44
591,81
592,91
593,56
594,9
595,7
596,6
597,73
598,1
599,39
600,55
601,55
602,83
603,80
604,43
605,84
606,66
607,4
608,64
609,77
610,98
611,82
612,81
613,20
614,0
615,48
616,35
617,21
618,61
619,13
620,49
621,39
622,76
623,0
624,17
625,64
626,48
627,77
628,93
629,82
630,75
631,96
632,97
633,3
634,62
635,60
636,22
637,32
638,26
639,84
640,41
641,12
642,85
643,76
644,8
645,82
646,80
647,94
648,72
649,22
650,15
651,66
652,89
653,97
654,19
655,0
656,84
657,5
658,56
659,36
660,45
661,1
662,94
663,65
664,87
665,82
666,17
667,64
668,99
669,97
670,30
671,32
672,83
673,77
674,1
675,28
676,55
677,91
678,93
679,68
680,14
681,14
682,1
683,92
684,97
685,45
686,7
687,21
688,37
689,32
690,67
691,88
692,86
693,92
694,74
695,10
696,74
697,25
698,73
699,78
700,24
701,42
702,55
703,10
704,65
705,26
706,31
707,85
708,78
709,29
710,32
711,81
712,97
713,1
714,82
715,0
716,4
717,31
718,59
719,57
720,64
721,76
722,60
723,25
724,46
725,1
726,61
727,75
728,62
729,21
730,61
731,78
732,90
733,68
734,94
735,88
736,95
737,3
738,83
739,32
740,93
741,77
742,38
743,42
744,61
745,41
746,88
747,83
748,35
749,82
750,50
751,15
752,48
753,11
754,4
755,71
756,8
757,98
758,67
759,7
760,85
761,25
762,96
763,71
764,80
765,80
766,13
767,90
768,54
769,15
770,76
771,39
772,95
773,24
774,7
775,64
776,70
777,88
778,81
779,0
780,12
781,64
782,6
783,79
784,86
785,60
786,22
787,80
788,82
789,14
790,48
791,33
792,97
793,53
794,16
795,1
796,58
797,94
798,70
799,29
800,9
801,23
802,46
803,58
804,99
805,78
806,10
807,53
808,37
809,97
810,36
811,15
812,77
813,52
814,63
815,32
816,14
817,36
818,26
819,7
820,94
821,4
822,13
823,22
824,71
825,54
826,83
827,10
828,57
829,86
830,11
831,62
832,21
833,31
834,26
835,69
836,96
837,71
838,90
839,39
840,84
841,47
842,35
843,19
844,52
845,74
846,32
847,51
848,53
849,21
850,98
851,6
852,88
853,71
854,97
855,98
856,55
857,78
858,24
859,93
860,44
861,60
862,16
863,33
864,9
865,10
866,11
867,68
868,24
869,84
870,46
871,40
872,63
873,53
874,10
875,63
876,41
877,77
878,54
879,44
880,20
881,29
882,76
883,34
884,54
885,26
886,44
887,2
888,96
889,69
890,36
891,18
892,90
893,66
894,47
895,37
896,99
897,34
898,12
899,38
900,38
901,25
902,15
903,86
904,19
905,99
906,65
907,28
908,99
909,51
910,72
911,39
912,8
913,56
914,47
915,65
916,98
917,77
918,45
919,21
920,93
921,89
922,37
923,48
924,52
925,56
926,19
927,52
928,18
929,67
930,2
931,60
932,9
933,68
934,22
935,23
936,38
937,31
938,54
939,97
940,71
941,54
942,92
943,56
944,23
945,42
946,81
947,66
948,13
949,47
950,96
951,44
952,42
953,51
954,61
955,2
956,71
957,81
958,72
959,88
960,80
961,47
962,55
963,51
964,6
965,3
966,76
967,52
968,53
969,34
970,60
971,63
972,28
973,24
974,36
975,69
976,89
977,90
978,70
979,58
980,77
981,43
982,43
983,99
984,81
985,80
986,66
987,35
988,5
989,21
990,49
991,33
992,15
993,37
994,35
995,89
996,36
997,9
998,53
999,91
1000,3
1001,23
1002,94
1003,40
1004,72
1005,90
1006,86
1007,91
1008,95
1009,92
1010,25
1011,60
1012,35
1013,29
1014,0
1015,9
1016,37
1017,64
1018,50
1019,90
1020,27
1021,52
1022,50
1023,48
1024,71
1025,12
1026,97
1027,0
1028,21
1029,41
1030,21
1031,86
1032,51
1033,66
1034,81
1035,74
1036,81
1037,30
1038,55
1039,30
1040,40
1041,61
1042,25
1043,8
1044,6
1045,9
1046,26
1047,2
1048,78
1049,62
1050,16
1051,17
1052,39
1053,93
1054,20
1055,74
1056,81
1057,26
1058,52
1059,45
1060,15
1061,3
1062,57
1063,60
1064,49
1065,36
1066,23
1067,4
1068,27
1069,15
1070,41
1071,80
1072,14
1073,20
1074,49
1075,28
1076,20
1077,33
1078,7
1079,45
1080,7
1081,89
1082,1
1083,90
1084,42
1085,15
1086,23
1087,93
1088,96
1089,52
1090,29
1091,26
1092,27
1093,93
1094,8
1095,70
1096,48
1097,82
1098,84
1099,81
1100,55
1101,38
1102,80
1103,63
1104,76
1105,4
1106,54
1107,60
1108,1
1109,49
1110,1
1111,92
1112,79
1113,69
1114,98
1115,92
1116,25
1117,26
1118,22
1119,5
1120,21
1121,84
1122,82
1123,42
1124,19
1125,93
1126,64
1127,61
1128,81
1129,69
1130,9
1131,91
1132,47
1133,34
1134,71
1135,9
1136,0
1137,16
1138,62
1139,74
1140,65
1141,31
1142,25
1143,13
1144,52
1145,13
1146,32
1147,32
1148,37
1149,63
1150,61
1151,19
1152,2
1153,49
1154,64
1155,58
1156,77
1157,62
1158,47
1159,53
1160,89
1161,33
1162,8
1163,41
1164,67
1165,78
1166,95
1167,7
1168,46
1169,35
1170,31
1171,83
1172,16
1173,2
1174,47
1175,51
1176,38
1177,79
1178,60
1179,42
1180,95
1181,88
1182,35
1183,4
1184,15
1185,93
1186,63
1187,85
1188,13
1189,38
1190,66
1191,99
1192,72
1193,53
1194,12
1195,93
1196,51
1197,21
1198,52
1199,21
1200,43
1201,77
1202,55
1203,36
1204,10
1205,76
1206,5
1207,29
1208,41
1209,14
1210,41
1211,77
1212,58
1213,60
1214,26
1215,88
1216,19
1217,19
1218,48
1219,5
1220,81
1221,69
1222,77
1223,60
1224,88
1225,92
1226,15
1227,34
1228,36
1229,30
1230,65
1231,82
1232,88
1233,7
1234,38
1235,57
1236,54
1237,23
1238,11
1239,48
1240,7
1241,90
1242,76
1243,10
1244,24
1245,6
1246,84
1247,76
1248,88
1249,28
1250,98
1251,96
1252,32
1253,64
1254,45
1255,54
1256,26
1257,79
1258,70
1259,11
1260,89
1261,89
1262,64
1263,66
1264,39
1265,53
1266,50
1267,50
1268,56
1269,84
1270,46
1271,13
1272,81
1273,51
1274,5
1275,56
1276,68
1277,62
1278,92
1279,93
1280,50
1281,42
1282,46
1283,36
1284,90
1285,67
1286,41
1287,2
1288,99
1289,41
1290,79
1291,90
1292,59
1293,52
1294,2
1295,16
1296,17
1297,64
1298,13
1299,96
1300,43
1301,88
1302,3
1303,7
1304,0
1305,68
1306,33
1307,49
1308,0
1309,18
1310,53
1311,3
1312,4
1313,51
1314,25
1315,11
1316,14
1317,70
1318,9
1319,76
1320,34
1321,48
1322,71
1323,37
1324,42
1325,44
1326,91
1327,58
1328,55
1329,17
1330,1
1331,5
1332,80
1333,5
1334,19
1335,47
1336,74
1337,63
1338,61
1339,28
1340,18
1341,20
1342,88
1343,50
1344,53
1345,19
1346,59
1347,78
1348,98
1349,93
1350,6
1351,35
1352,59
1353,65
1354,23
1355,68
1356,45
1357,52
1358,17
1359,65
1360,47
1361,12
1362,94
1363,81
1364,76
1365,91
1366,72
1367,2
1368,18
1369,47
1370,92
1371,98
1372,19
1373,0
1374,43
1375,50
1376,43
1377,72
1378,73
1379,4
1380,53
1381,37
1382,8
1383,25
1384,59
1385,29
1386,27
1387,33
1388,38
1389,5
1390,25
1391,41
1392,81
1393,23
1394,68
1395,52
1396,81
1397,43
1398,8
1399,46
1400,18
1401,92
1402,84
1403,80
1404,48
1405,80
1406,25
1407,31
1408,70
1409,88
1410,10
1411,50
1412,76
1413,65
1414,95
1415,94
1416,33
1417,52
1418,44
1419,9
1420,99
1421,12
1422,28
1423,3
1424,47
1425,34
1426,57
1427,13
1428,22
1429,57
1430,40
1431,50
1432,34
1433,43
1434,20
1435,87
1436,91
1437,65
1438,9
1439,17
1440,15
1441,57
1442,79
1443,91
1444,46
1445,13
1446,44
1447,24
1448,10
1449,85
1450,38
1451,56
1452,29
1453,29
1454,51
1455,78
1456,62
1457,53
1458,17
1459,28
1460,28
1461,11
1462,8
1463,48
1464,13
1465,71
1466,95
1467,66
1468,98
1469,8
1470,94
1471,25
1472,70
1473,54
1474,12
1475,86
1476,3
1477,95
1478,13
1479,35
1480,45
1481,91
1482,55
1483,45
1484,51
1485,53
1486,40
1487,9
1488,87
1489,48
1490,95
1491,58
1492,78
1493,31
1494,92
1495,39
1496,72
1497,47
1498,72
1499,26
1500,26
1501,59
1502,64
1503,37
1504,92
1505,14
1506,26
1507,25
1508,94
1509,29
1510,15
1511,63
1512,67
1513,32
1514,9
1515,43
1516,12
1517,44
1518,78
1519,50
1520,72
1521,11
1522,69
1523,66
1524,75
1525,20
1526,54
1527,32
1528,86
1529,84
1530,3
1531,55
1532,34
1533,54
1534,69
1535,47
1536,62
1537,57
1538,85
1539,95
1540,16
1541,2
1542,82
1543,59
1544,59
1545,81
1546,39
1547,79
1548,25
1549,48
1550,28
1551,49
1552,17
1553,76
1554,71
1555,74
1556,63
1557,28
1558,56
1559,43
1560,61
1561,40
1562,9
1563,17
1564,31
1565,52
1566,52
1567,36
1568,58
1569,79
1570,27
1571,78
1572,15
1573,15
1574,6
1575,56
1576,3
1577,73
1578,57
1579,5
1580,76
1581,84
1582,52
1583,79
1584,64
1585,3
1586,22
1587,45
1588,15
1589,83
1590,19
1591,72
1592,61
1593,33
1594,9
1595,76
1596,52
1597,16
1598,70
1599,39
1600,60
1601,59
1602,65
1603,89
1604,68
1605,18
1606,23
1607,42
1608,47
1609,11
1610,20
1611,80
1612,7
1613,17
1614,12
1615,4
1616,45
1617,17
1618,32
1619,21
1620,42
1621,21
1622,11
1623,79
1624,21
1625,61
1626,80
1627,41
1628,9
1629,40
1630,54
1631,54
1632,21
1633,87
1634,72
1635,37
1636,52
1637,92
1638,71
1639,17
1640,47
1641,94
1642,39
1643,78
1644,79
1645,34
1646,26
1647,33
1648,24
1649,12
1650,53
1651,88
1652,20
1653,47
1654,97
1655,18
1656,2
1657,25
1658,61
1659,56
1660,68
1661,27
1662,13
1663,92
1664,12
1665,46
1666,76
1667,67
1668,25
1669,2
1670,27
1671,48
1672,3
1673,46
1674,20
1675,8
1676,4
1677,57
1678,63
1679,7
1680,32
1681,52
1682,98
1683,52
1684,90
1685,69
1686,78
1687,15
1688,78
1689,5
1690,99
1691,5
1692,25
1693,86
1694,85
1695,33
1696,61
1697,30
1698,34
1699,24
1700,56
1701,16
1702,62
1703,38
1704,27
1705,44
1706,53
1707,7
1708,38
1709,68
1710,10
1711,9
1712,53
1713,82
1714,10
1715,21
1716,30
1717,64
1718,52
1719,57
1720,16
1721,81
1722,95
1723,72
1724,96
1725,33
1726,62
1727,65
1728,18
1729,61
1730,35
1731,50
1732,21
1733,87
1734,5
1735,69
1736,37
1737,59
1738,0
1739,44
1740,25
1741,85
1742,54
1743,57
1744,73
1745,69
1746,3
1747,35
1748,49
1749,33
1750,73
1751,99
1752,80
1753,84
1754,55
1755,54
1756,90
1757,15
1758,46
1759,1
1760,51
1761,28
1762,44
1763,52
1764,54
1765,83
1766,40
1767,14
1768,45
1769,73
1770,12
1771,42
1772,93
1773,29
1774,59
1775,8
1776,17
1777,56
1778,11
1779,18
1780,1
1781,82
1782,33
1783,15
1784,86
1785,52
1786,86
1787,93
1788,38
1789,20
1790,97
1791,57
1792,25
1793,91
1794,55
1795,65
1796,64
1797,90
1798,70
1799,34
1800,11
1801,26
1802,68
1803,59
1804,6
1805,79
1806,22
1807,22
1808,86
1809,10
1810,1
1811,75
1812,48
1813,5
1814,81
1815,67
1816,99
1817,96
1818,82
1819,76
1820,33
1821,70
1822,65
1823,77
1824,70
1825,12
1826,91
1827,0
1828,95
1829,48
1830,47
1831,30
1832,49
1833,11
1834,3
1835,17
1836,38
1837,94
1838,29
1839,94
1840,49
1841,50
1842,57
1843,64
1844,73
1845,28
1846,16
1847,91
1848,46
1849,31
1850,25
1851,2
1852,95
1853,21
1854,83
1855,52
1856,56
1857,28
1858,17
1859,53
1860,71
1861,7
1862,94
1863,53
1864,89
1865,57
1866,28
1867,7
1868,34
1869,79
1870,53
1871,86
1872,43
1873,17
1874,69
1875,22
1876,17
1877,6
1878,53
1879,68
1880,44
1881,89
1882,38
1883,51
1884,45
1885,95
1886,37
1887,66
1888,28
1889,16
1890,23
1891,52
1892,24
1893,21
1894,91
1895,99
1896,15
1897,21
1898,59
1899,9
1900,81
1901,88
1902,93
1903,61
1904,17
1905,44
1906,33
1907,81
1908,78
1909,94
1910,40
1911,60
1912,4
1913,89
1914,33
1915,88
1916,18
1917,6
1918,36
1919,26
1920,74
1921,88
1922,56
1923,3
1924,50
1925,0
1926,43
1927,22
1928,96
1929,95
1930,84
1931,69
1932,9
1933,78
1934,4
1935,69
1936,11
1937,97
1938,29
1939,44
1940,64
1941,98
1942,75
1943,36
1944,94
1945,89
1946,44
1947,20
1948,36
1949,63
1950,76
1951,37
1952,63
1953,6
1954,30
1955,99
1956,78
1957,21
1958,38
1959,83
1960,67
1961,31
1962,49
1963,39
1964,85
1965,66
1966,53
1967,54
1968,41
1969,36
1970,61
1971,88
1972,30
1973,89
1974,95
1975,41
1976,89
1977,19
1978,46
1979,78
1980,17
1981,31
1982,22
1983,2
1984,78
1985,13
1986,73
1987,51
1988,95
1989,46
1990,38
1991,11
1992,28
1993,45
1994,42
1995,7
1996,88
1997,61
1998,12
1999,8
2000,92
2001,41
2002,37
2003,72
2004,17
2005,51
2006,99
2007,11
2008,67
2009,63
2010,63
2011,9
2012,58
2013,96
2014,77
2015,1
2016,64
2017,53
2018,92
2019,13
2020,35
2021,21
2022,11
2023,39
2024,49
2025,81
2026,11
2027,3
2028,77
2029,89
2030,95
2031,85
2032,52
2033,48
2034,35
2035,38
2036,80
2037,39
2038,82
2039,43
2040,12
2041,21
2042,38
2043,57
2044,5
2045,27
2046,63
2047,78
2048,4
2049,40
2050,3
2051,15
2052,31
2053,49
2054,93
2055,39
2056,6
2057,16
2058,53
2059,65
2060,12
2061,57
2062,5
2063,17
2064,97
2065,37
2066,48
2067,79
2068,5
2069,57
2070,16
2071,41
2072,48
2073,54
2074,65
2075,77
2076,22
2077,0
2078,19
2079,14
2080,29
2081,20
2082,48
2083,36
2084,39
2085,95
2086,20
2087,59
2088,0
2089,51
2090,79
2091,71
2092,31
2093,14
2094,40
2095,92
2096,87
2097,91
2098,16
2099,86
2100,58
2101,89
2102,38
2103,83
2104,15
2105,85
2106,16
2107,65
2108,20
2109,84
2110,74
2111,49
2112,56
2113,91
2114,56
2115,92
2116,19
2117,97
2118,28
2119,9
2120,41
2121,81
2122,90
2123,89
2124,86
2125,22
2126,11
2127,64
2128,27
2129,87
2130,3
2131,1
2132,36
2133,90
2134,94
2135,71
2136,29
2137,62
2138,95
2139,33
2140,15
2141,95
2142,41
2143,24
2144,89
2145,15
2146,81
2147,48
2148,48
2149,30
2150,52
2151,79
2152,20
2153,68
2154,16
2155,78
2156,16
2157,31
2158,38
2159,52
2160,43
2161,20
2162,98
2163,24
2164,71
2165,49
2166,39
2167,46
2168,51
2169,39
2170,11
2171,89
2172,78
2173,27
2174,26
2175,53
2176,10
2177,41
2178,12
2179,2
2180,4
2181,39
2182,19
2183,56
2184,74
2185,79
2186,30
2187,98
2188,80
2189,22
2190,6
2191,59
2192,14
2193,87
2194,26
2195,87
2196,49
2197,91
2198,12
2199,53
2200,33
2201,7
2202,99
2203,13
2204,84
2205,66
2206,80
2207,76
2208,72
2209,70
2210,14
2211,42
2212,86
2213,10
2214,90
2215,78
2216,24
2217,84
2218,69
2219,97
2220,34
2221,4
2222,26
2223,99
2224,19
2225,67
2226,95
2227,13
2228,72
2229,6
2230,46
2231,29
2232,51
2233,59
2234,62
2235,60
2236,68
2237,44
2238,83
2239,57
2240,41
2241,90
2242,48
2243,82
2244,67
2245,10
2246,28
2247,71
2248,79
2249,43
2250,37
2251,5
2252,17
2253,7
2254,84
2255,57
2256,44
2257,57
2258,68
2259,26
2260,59
2261,4
2262,87
2263,10
2264,3
2265,66
2266,65
2267,15
2268,75
2269,20
2270,47
2271,0
2272,14
2273,12
2274,62
2275,55
2276,63
2277,69
2278,3
2279,73
2280,73
2281,38
2282,33
2283,47
2284,20
2285,37
2286,60
2287,21
2288,6
2289,12
2290,16
2291,19
2292,40
2293,70
2294,10
2295,10
2296,57
2297,81
2298,68
2299,17
2300,40
2301,15
2302,61
2303,47
2304,76
2305,11
2306,72
2307,23
2308,27
2309,3
2310,15
2311,30
2312,80
2313,54
2314,9
2315,15
2316,2
2317,26
2318,77
2319,46
2320,12
2321,58
2322,67
2323,76
2324,95
2325,67
2326,95
2327,79
2328,70
2329,59
2330,25
2331,29
2332,51
2333,44
2334,45
2335,60
2336,34
2337,97
2338,1
2339,93
2340,31
2341,38
2342,65
2343,92
2344,38
2345,2
2346,95
2347,78
2348,5
2349,34
2350,76
2351,20
2352,93
2353,30
2354,69
2355,59
2356,34
2357,77
2358,46
2359,66
2360,31
2361,73
2362,87
2363,13
2364,18
2365,80
2366,38
2367,13
2368,25
2369,90
2370,97
2371,70
2372,37
2373,76
2374,31
2375,0
2376,81
2377,45
2378,5
2379,37
2380,41
2381,80
2382,20
2383,52
2384,74
2385,25
2386,20
2387,78
2388,98
2389,20
2390,32
2391,35
2392,25
2393,55
2394,61
2395,43
2396,58
2397,36
2398,99
2399,60
2400,70
2401,34
2402,96
2403,44
2404,56
2405,78
2406,83
2407,23
2408,52
2409,32
2410,54
2411,33
2412,61
2413,31
2414,53
2415,15
2416,50
2417,3
2418,12
2419,86
2420,55
2421,58
2422,5
2423,30
2424,26
2425,10
2426,0
2427,2
2428,25
2429,33
2430,53
2431,56
2432,94
2433,32
2434,99
2435,34
2436,1
2437,76
2438,65
2439,69
2440,66
2441,37
2442,67
2443,40
2444,93
2445,24
2446,82
2447,23
2448,73
2449,66
2450,73
2451,11
2452,11
2453,94
2454,88
2455,12
2456,29
2457,46
2458,95
2459,54
2460,41
2461,6
2462,19
2463,22
2464,3
2465,73
2466,15
2467,53
2468,72
2469,33
2470,20
2471,63
2472,12
2473,64
2474,97
2475,22
2476,85
2477,14
2478,33
2479,66
2480,19
2481,72
2482,73
2483,84
2484,13
2485,96
2486,38
2487,8
2488,0
2489,41
2490,80
2491,69
2492,85
2493,68
2494,86
2495,37
2496,68
2497,35
2498,10
2499,8
2500,23
2501,76
2502,74
2503,89
2504,60
2505,69
2506,96
2507,32
2508,29
2509,27
2510,9
2511,39
2512,0
2513,74
2514,17
2515,54
2516,62
2517,6
2518,34
2519,64
2520,8
2521,46
2522,67
2523,53
2524,12
2525,78
2526,61
2527,26
2528,64
2529,25
2530,70
2531,96
2532,67
2533,86
2534,26
2535,25
2536,32
2537,79
2538,23
2539,76
2540,45
2541,57
2542,5
2543,64
2544,34
2545,82
2546,66
2547,83
2548,27
2549,71
2550,9
2551,60
2552,2
2553,43
2554,29
2555,72
2556,58
2557,40
2558,5
2559,83
2560,62
2561,26
2562,39
2563,16
2564,93
2565,16
2566,85
2567,38
2568,76
2569,90
2570,42
2571,18
2572,14
2573,75
2574,73
2575,71
2576,20
2577,20
2578,16
2579,51
2580,88
2581,5
2582,25
2583,64
2584,59
2585,77
2586,22
2587,34
2588,68
2589,28
2590,44
2591,13
2592,73
2593,35
2594,52
2595,72
2596,99
2597,37
2598,19
2599,50
2600,87
2601,44
2602,85
2603,58
2604,57
2605,45
2606,66
2607,5
2608,11
2609,81
2610,2
2611,67
2612,96
2613,69
2614,25
2615,72
2616,75
2617,31
2618,97
2619,42
2620,29
2621,71
2622,29
2623,63
2624,89
2625,44
2626,67
2627,39
2628,59
2629,59
2630,12
2631,96
2632,16
2633,36
2634,64
2635,29
2636,13
2637,37
2638,46
2639,85
2640,65
2641,11
2642,78
2643,6
2644,93
2645,70
2646,7
2647,42
2648,0
2649,41
2650,39
2651,87
2652,80
2653,44
2654,47
2655,95
2656,10
2657,21
2658,63
2659,55
2660,69
2661,20
2662,85
2663,41
2664,23
2665,13
2666,92
2667,98
2668,84
2669,75
2670,48
2671,4
2672,52
2673,55
2674,61
2675,89
2676,83
2677,34
2678,42
2679,12
2680,91
2681,42
2682,77
2683,49
2684,20
2685,11
2686,16
2687,26
2688,91
2689,88
2690,85
2691,28
2692,27
2693,83
2694,54
2695,2
2696,71
2697,77
2698,13
2699,56
2700,76
2701,37
2702,64
2703,72
2704,64
2705,46
2706,75
2707,90
2708,26
2709,82
2710,49
2711,50
2712,15
2713,46
2714,78
2715,94
2716,86
2717,25
2718,11
2719,13
2720,4
2721,40
2722,47
2723,44
2724,90
2725,95
2726,78
2727,7
2728,89
2729,39
2730,40
2731,69
2732,95
2733,38
2734,47
2735,68
2736,78
2737,36
2738,75
2739,36
2740,82
2741,88
2742,38
2743,36
2744,81
2745,77
2746,73
2747,2
2748,96
2749,68
2750,18
2751,6
2752,53
2753,56
2754,67
2755,88
2756,34
2757,83
2758,4
2759,29
2760,43
2761,74
2762,87
2763,26
2764,63
2765,25
2766,79
2767,89
2768,38
2769,67
2770,59
2771,5
2772,95
2773,32
2774,15
2775,24
2776,77
2777,2
2778,88
2779,49
2780,11
2781,31
2782,62
2783,7
2784,6
2785,61
2786,27
2787,5
2788,41
2789,5
2790,10
2791,43
2792,23
2793,21
2794,73
2795,68
2796,88
2797,36
2798,65
2799,72
2800,47
2801,59
2802,20
2803,45
2804,2
2805,88
2806,45
2807,3
2808,27
2809,4
2810,60
2811,82
2812,22
2813,68
2814,92
2815,70
2816,84
2817,87
2818,32
2819,91
2820,31
2821,36
2822,9
2823,63
2824,83
2825,74
2826,38
2827,42
2828,34
2829,28
2830,32
2831,82
2832,90
2833,46
2834,15
2835,38
2836,22
2837,23
2838,18
2839,79
2840,98
2841,74
2842,97
2843,87
2844,26
2845,39
2846,35
2847,44
2848,5
2849,66
2850,17
2851,60
2852,79
2853,38
2854,53
2855,37
2856,82
2857,44
2858,43
2859,24
2860,27
2861,6
2862,38
2863,46
2864,21
2865,0
2866,10
2867,84
2868,11
2869,58
2870,0
2871,89
2872,44
2873,31
2874,46
2875,68
2876,47
2877,52
2878,2
2879,95
2880,70
2881,71
2882,58
2883,74
2884,27
2885,8
2886,47
2887,27
2888,3
2889,68
2890,53
2891,64
2892,68
2893,96
2894,10
2895,46
2896,70
2897,21
2898,81
2899,11
2900,21
2901,74
2902,1
2903,53
2904,29
2905,93
2906,14
2907,91
2908,71
2909,88
2910,98
2911,89
2912,27
2913,71
2914,64
2915,94
2916,61
2917,25
2918,83
2919,29
2920,74
2921,99
2922,5
2923,46
2924,51
2925,88
2926,24
2927,67
2928,84
2929,31
2930,19
2931,59
2932,30
2933,97
2934,35
2935,46
2936,22
2937,51
2938,25
2939,18
2940,78
2941,59
2942,19
2943,24
2944,5
2945,22
2946,15
2947,67
2948,15
2949,35
2950,60
2951,41
2952,38
2953,70
2954,76
2955,13
2956,89
2957,84
2958,30
2959,50
2960,0
2961,75
2962,80
2963,9
2964,36
2965,20
2966,45
2967,64
2968,24
2969,73
2970,67
2971,35
2972,82
2973,87
2974,31
2975,14
2976,73
2977,59
2978,72
2979,77
2980,51
2981,61
2982,95
2983,46
2984,50
2985,29
2986,97
2987,16
2988,0
2989,82
2990,43
2991,23
2992,89
2993,9
2994,16
2995,68
2996,2
2997,69
